date,price,daily_return,z_score,price_change,rolling_volatility,shock_type
2010-05-04,82.73999786376953,-4.002789743488055,-2.5041275888208445,,1.6278062379857583,VOLATILE
2010-10-19,79.48999786376953,-4.3211409342353235,-2.7189284745693074,-3.25,1.6806682801301067,VOLATILE
2011-01-28,89.33999633789062,4.320407490205347,2.873594956932887,9.849998474121094,1.4903785779533032,VOLATILE
2011-02-22,93.56999969482422,8.549887479702889,3.8030131728870806,4.230003356933594,2.1887334649018255,SPIKE
2011-05-05,99.80000305175781,-8.641518671379044,-3.9008999346925495,6.230003356933594,2.1718630228363756,CRASH
2011-08-04,86.62999725341797,-5.765259473690454,-2.7434682419244987,-13.170005798339844,1.9914288505637687,CRASH
2011-08-08,81.30999755859375,-6.411141656205666,-2.817227111840597,-5.319999694824219,2.148731553343783,CRASH
2011-09-22,80.51000213623047,-6.29655045159232,-2.628148155786387,-0.7999954223632812,2.369353290833846,CRASH
2011-12-14,94.94999694824219,-5.182746627760359,-2.9284281355369663,14.439994812011719,1.8088587642578517,CRASH
2012-05-04,98.48999786376953,-3.9496811152695543,-2.5559483155701606,3.5400009155273438,1.4616494798236974,VOLATILE
2012-06-21,78.19999694824219,-4.4009852924305815,-2.509122655044249,-20.290000915527344,1.4756501140082428,VOLATILE
2012-06-29,84.95999908447266,9.357699079169723,3.9304219962131466,6.760002136230469,2.446207306168725,SPIKE
2012-09-17,96.62000274658203,-2.4040376297151167,-2.753240296318063,11.660003662109375,0.9420313435146963,VOLATILE
2012-09-19,91.9800033569336,-3.473604288794163,-3.0117519683240586,-4.6399993896484375,1.1352904422923864,VOLATILE
2012-10-03,88.13999938964844,-4.080966399943675,-2.699197143102866,-3.8400039672851562,1.401441628682204,VOLATILE
2012-10-04,91.70999908447266,4.050374086164887,2.6384547778078664,3.5699996948242188,1.6045596523547214,VOLATILE
2013-02-20,94.45999908447266,-2.2760236853778593,-2.601768512448291,2.75,0.8936341907387871,VOLATILE
2013-04-03,94.44999694824219,-2.8192256655368952,-2.5682173612596704,-0.01000213623046875,1.0698969433331724,VOLATILE
2013-06-20,95.4000015258789,-2.8908758139723045,-2.6457520712556075,0.9500045776367188,1.078781450063253,VOLATILE
2014-01-02,95.44000244140625,-3.027835585226979,-2.829571995580818,0.04000091552734375,1.1022893611590483,VOLATILE
2014-07-11,100.83000183105469,-2.040220021271577,-2.508692533893436,5.3899993896484375,0.7786894141040047,VOLATILE
2014-10-14,81.83999633789062,-4.548637302365622,-2.7030660941259255,-18.990005493164062,1.5312796561260076,VOLATILE
2014-11-28,66.1500015258789,-10.232054099228305,-4.112579297143293,-15.689994812011719,2.314258532955636,CRASH
2015-01-14,48.47999954223633,5.643931547255865,2.5003537156134588,-17.670001983642578,2.710824198864291,SPIKE
2015-01-30,48.2400016784668,8.33146867476402,2.5220185103998833,-0.23999786376953125,3.475587435513087,SPIKE
2015-07-06,52.529998779296875,-7.728792380629724,-3.0314213195373805,4.289997100830078,2.3999436765653503,CRASH
2015-08-27,42.560001373291016,10.259075273862672,3.7204496646841583,-9.96999740600586,2.906765650706032,SPIKE
2016-01-21,29.530000686645508,11.22411124375946,3.232619165251979,-13.030000686645508,3.7014136679542538,SPIKE
2016-06-24,47.63999938964844,-4.929158233122988,-2.5776522754212223,18.10999870300293,1.94517374919165,VOLATILE
2016-11-15,45.810001373291016,5.7479263527425495,2.996129820967593,-1.8299980163574219,1.969687701444367,SPIKE
2016-11-30,49.439998626708984,9.307979498300245,3.2528575799450516,3.6299972534179688,2.8598977872641327,SPIKE
2017-03-08,50.279998779296875,-5.382010995861409,-3.4727454895206793,0.8400001525878906,1.4991858146674077,CRASH
2017-05-04,45.52000045776367,-4.809701488370122,-2.99273204903683,-4.759998321533203,1.5511051285796105,VOLATILE
2018-05-25,67.87999725341797,-4.002265404746885,-2.755836297546242,22.359996795654297,1.4648290952166747,VOLATILE
2018-06-22,68.58000183105469,4.6383901023216545,2.8378519945156317,0.7000045776367188,1.676339024772734,VOLATILE
2018-07-11,70.37999725341797,-5.033063454613695,-2.6737295289602674,1.7999954223632812,1.9557817413777947,CRASH
2018-11-13,55.689998626708984,-7.074923505549546,-3.3984516964023044,-14.689998626708984,1.7929924104257953,CRASH
2018-11-23,50.41999816894531,-7.706393587510085,-2.807395597065354,-5.270000457763672,2.3512804865237067,CRASH
2018-12-26,46.220001220703125,8.676234534016736,2.553425081090882,-4.1999969482421875,3.714719326004437,SPIKE
2019-05-23,57.90999984741211,-5.714748333072894,-3.3266164476442555,11.689998626708984,1.6122291729647342,CRASH
2019-08-01,53.95000076293945,-7.903722982918648,-3.148608468007565,-3.9599990844726562,2.523894051852639,CRASH
2019-09-16,62.900001525878906,14.676396127077208,4.028741401530962,8.950000762939453,3.5273437210151686,SPIKE
2019-11-29,55.16999816894531,-5.059374308253794,-2.7257639437651933,-7.730003356933594,1.8902937935804258,CRASH
2020-01-08,59.61000061035156,-4.928229848466481,-2.839403561793129,4.44000244140625,1.7779306950374996,VOLATILE
2020-03-06,41.279998779296875,-10.065365126354575,-3.363984109088045,-18.330001831054688,2.709504574271754,CRASH
2020-03-09,31.1299991607666,-24.588178097574932,-4.494587614201034,-10.149999618530273,5.095436417161117,CRASH
2020-03-18,20.3700008392334,-24.41558344129846,-3.049543192054097,-10.759998321533203,7.139326340149887,CRASH
2020-03-19,25.219999313354492,23.809515337769717,2.9973371249552514,4.849998474121094,8.586408727704914,SPIKE
2020-04-02,25.31999969482422,24.667653178834637,2.6173347959721514,0.10000038146972656,10.178610882747028,SPIKE
